dataset,essay_id,text,score,normalized_score,score_band,essay_set,prompt_group,prompt_name,task,grade_level
ASAP-AES,764,"Dear local Newspaper, To my understanding computers have been putting a bad effect on people of all ages. In my opinion staying on the computer all day can cause you to miss out on outdoor activities. Also if you sit on a chair all day, honestly what will happen to you? You will become less active. In past experiences I have learned that if you get interested in computer game it will come very addicting. Computer put negative affects on people of all and I think we should stop and think about what we are doing. Most likely if you stay on the computer all day you will indeed on activities such as sports. @CAPS2 example @PERCENT1 of americans play soccer.",9,0.7,HIGH,1.0,HOLISTIC,,,
ASAP-AES,19135,I was being pationt when I was waiting for my own phone so I cam text my friends and call them and more. I was also waiting for to get my own snowmoble licens so I can ride my own snowmible on the troils. Know  matter what you are always be patient.,9,0.3181818181818182,LOW,7.0,NARRATIVE,,,
ASAP-AES,641,"Second of all, peop concentrate to much on the computer that they dont do homework or any school work. If they dont do homework they could get bad grades on their report cards. If they get bad grades they could fail the marking period and stay back. Please listen or your child could stay back. Now for my third reason. Third, People wont enjoy hanging out with there friends. On the weekends you wouldn't want to be on the computer go out with your friends, enjoy yourself.",7,0.5,MID,1.0,HOLISTIC,,,
ASAP-AES,4708,"The book still will be censored to be in that section or not, but we still will have those wonderful books that we all love so much. What if there was a great informative book about how to do a certain task and no one knew how to do it. That book contained bad language, should the health and knowledge of the world go down because of some bad material in a book, that could help us in the near future. Authors have just the same right as we do. They should get a say in wheather @CAPS5 own book is liable to be on the shelfs. The government should not get all the say in this series matter in hand. The community and the author that writes it should get more of the say then anyone else.",5,0.8,HIGH,2.0,HOLISTIC,,,
ASAP-AES,1583,"Most of the time it takes me hours to do my homework, but is I had a computer it probly only take me minutes to do it. So for hand-eye coordination, having trouble with bills and it takeing to long to look thing up by other means I think its good that people spent and i hope you agree.",8,0.6,MID,1.0,HOLISTIC,,,
ASAP-AES,573,"People are spending too much time on their computers and are spending less time exercising, enjoying nature, and interacting with family and friends. These people are spending hours and hours in front of a computer getting heavier every day. They start to eat their feelings because of how lonely they are. This process continues until the certain person can barely yet out of their chair. Obesity is not the only problem that is damaging their health, their eyes are being damaged also. It is obvious that more & more people are having problems with @CAPS2 eyes everyday. Computers are making this happen. When a certain person is on the computer for only an hour, they are damaging their eyes tremendously.",10,0.8,HIGH,1.0,HOLISTIC,,,
ASAP-AES,16014,"In the excerpt the builders had faced many obstacles in ader for dirigibles to dock there. They had faced many challenges. One of the main concerns were safety. Al Smith had commented saying ""They were trying to figure some safe way of mooring airships to this mast."" among any other safety issues.",1,0.25,LOW,6.0,CONSTRUCTED_RESPONSE,,,
ASAP++,16334,"In the story ""The Mooring Mast"" by Marcia Amidon @CAPS1 the builders of the Empire State Building faced an obstacle in building a dock for dirigibles. One of the problems they faced was that the did not have suitable landing area. In paragraph six it said that it would only allow dirigibles to anchor there for several hours. Also they had realized that most dirigibles from outside the country used hydrogen insted of helium which was more highly flammable. In paragraph thirteen they said that an accident could have been worse if it had taken place above a densely populated area such as downtown New York.",2,0.5,MID,6.0,,,,
ASAP-AES,3779,No i dont hink that should happen that would be stupid and im sure alot of people will disagree with it. one reason is because adults like all of that stuff. And if they were doing this because kids keep geeting into them. then just get a door that says @NUM1 and older and put cameras up. If kids parents complain then at lest you can say that its all in one room and no kids aloud. this shoudnt be a big deal if your a kid you are going to have to be round all the time when you grow up. So you might as well get used to it. it is a big deal if your cursing all the time but most kids know better and know not to do bad stuff.,2,0.2,LOW,2.0,HOLISTIC,,,
ASAP-AES,10514,I think that the passage is trying to say the sum because in the passage. it says in the spring when the snows melt and only the sun does that and the gees return hunting season and the hibiscus is budding then I will take that test again. so @CAPS1 start in the spring so it has to be the sun in the spring time.,0,0.0,LOW,4.0,CONSTRUCTED_RESPONSE,,,
ASAP_2.0,AAAOPP13416000014024,"I would be against the development of theses cars, just for the fact if you have no control over ther car the car could crash more likely than a car a person is controlling, because what happens if a car is about to have a car accident and you have no controll to turn the car so it won't crash as well. I feel it would be better if we people took controll of driving and not some system put in the vehicle that controls it. We may have had google cars that could drive independently under specific conditions since 2009, where cars can drive more than a half a million miles without crashing, but at the same time the google car is truly driverless because the car will still have to alert the driver to take over if something goes wrong.",3,0.4,MID,,,Driverless cars,Text dependent,10.0
ASAP-AES,8957,"The author concludes the end; of the story the way he/she did because it shows how much the plant truly means. S'aeng is going to wait till the flower blooms because it means so much to her. The flower represents her and her driving test. When the hibiscus is ready to bloom, she will be ready to drive. The plant gives her hope for a new tommorow, a new chance. The last paragraph helps the reader realize how much the plant means to the girl, its significance. It makes her feel more at home, and her home makes her feel stranger; makes her joyful and happy after the misery of failing the driving test.",2,0.6666666666666666,HIGH,4.0,CONSTRUCTED_RESPONSE,,,
ASAP++,13336,In every paragraph in the memoir he explains how life was and how he loved it so much. In paragraph @NUM1 he uses parenthesis to show or talk about how much he loved different kinds of things. He shows in his writing all the warm kind of feelings he had as a child. In paragraphs three and four he also talks about how much he loved being with other cultures and how his parents were really good people.,1,0.25,LOW,5.0,,,,
ASAP-AES,10336,"Saeng has been the victim of a tragic  loss  in  family  and also  a move  to  a totally different  world. The paragraph  is  symbolic  of  turning over a new leaf and starting over.The snows  melting and hibiscus bidding are both symbolizing  new life.Saeng is going to have a outlook on life and accept  her situation to  make  the  best  of  it. Also, the  author say the  winter  hibiscus  was  in the ground now as  it does compare to saengs new found  outlook  planted on life. Like the flower, a seed of hope was planted into Saeng, and now she is ready to blossom.",2,0.6666666666666666,HIGH,4.0,CONSTRUCTED_RESPONSE,,,
ASAP++,16214,"The builders had many obstacles while building the Empire State building. They had competition with the Chrysler building because of it's height. Al Smith, the constructor of the Empire State wanted to build the tallet and most famous building in the world. He made the buildings seem invincable. He even put a mooring mast on it so things could land on it. But it was never suppost to surve that purpouse, It was only created for publicity. Because about the mooring mast the building would have failed to become popular. Al Smith did everything to make that building what it is today and it is still standing in New York city today.",0,0.0,LOW,6.0,,,,
ASAP_2.0,5212698,"The electoral college is very biased because the presidential candidates or a party's central commitee can choose the electors which may cause them to vote unaccording to the majority vote. The most worrying is the prospect of a tie in the electoral vote. In that case, the election would be thrown to the House of Representatives, where state delegations vote on the president. Because each state only gets one vote, the single representative from Wyoming would have as much say as the 55 representatives from California. Most states have a ""winner-take-all"" system which could easily throw off the vote and make it swing in the wrong direction and thus, against the voters popular vote. This makes the electoral college irrational. Lastly, the electoral college is just unfair.",2,0.2,LOW,,,Does the electoral college work?,Text dependent,9.0
ASAP++,15366,"many obstacles were taken while trying to get the Empire State Building to allow dirigibles to dock there. This was a long, hard and thought out process. Workers couldn't just drop a mooring mast on top of the building's roof. A one thousand-foot dirigible moored at the top of the building. It was being held by a single cable tether, which added stress to the buildings frame. The architects also had to build a shiny glass and chrome-nickel stainless steel tower that would illuminated from inside, with a stepped-back design that imitated the overall shape of the building. Later on they realized dirigibles could not moor a the Empire State building. One reason being a law against airships flying to low over urban areas. Architects went through many obstacles in building masts.",2,0.5,MID,6.0,,,,
ASAP_2.0,AAAOPP13416000037047,"Sight seeing and the trip home is amazing. So come on! Join the Seagoing Cowboys program! It can be dangderous and hard, but in the end there are more great things to do than all the small dangers. Hard work is the price to pay if you do want to join. All the sights to see, helping people in tmes of needs, and the awsome trips will be fun! So come join today! I am certain you will not regret it! Come help the cause. It will be an amazing experiance!",4,0.75,HIGH,,,"""A Cowboy Who Rode the Waves""",Text dependent,6.0
ASAP_2.0,AAAVUP14319000036102,If NASA continues to discover they might find a slotion or actually have a chance. Therefore with given evidence Venus has alot of potential and is worth of discovery. Venus must be given a chance to prove to people that it is more than just another planet. It is given life features.,4,0.6,MID,,,Exploring Venus,Text dependent,10.0
ASAP_2.0,5061108,"One of the reasons i think that the Electoral College actually works is because The Electoral College works is because it process consists of the selection of the electors where they vote for President and Vice President, and the counting of the electoral votes by congress. The Electoral College helps pick the president and vice president and if didnt have that then it wouldve been total chaos because with The Electoral College it is way easier and faster and is a better process , The Electoral College consists of many electors and electoral votes this is really important because under the 23rd Amendment of the Constitution, the District of Columbia is allocated 3 electors and treated like a state for purposes of the Electoral College. For This Reason, in the discussion the word state also refers to the District of Columbia.",1,0.0,LOW,,,Does the electoral college work?,Text dependent,9.0
